[Mesh fusion pipeline with reduced normal smoothing and trilateral shift iterations]
The total time taken was     538.24 ms

 Line  Time (ms)    Hits  Code
   45       0.06       1  points = np.vstack(pointclouds)
  205       0.06       1  overlap_mesh.compute_vertex_normals()
   56       0.05       1  mesh1.compute_vertex_normals()
   93       0.04       1  all_tris = np.concatenate([tris1, tris2], axis=0)
   49       0.04       1  colours = np.concatenate([colours1, colours2], axis=0)
   61       0.04       1  normals = np.concatenate([normals1, normals2], axis=0)
   63       0.03       3  scan_ids = np.concatenate([np.full(len(pts), i) for i, pts in enumerate(pointclouds)])
   78       0.03       3  [(1 / len(ls)) * np.sum(ls) for ls in local_spacings]
  163       0.03       1  new_colours = np.clip(new_colours, 0, 1)
   92       0.02       1  tris2 = np.asarray(mesh2.triangles) + len(points1)  # shift indices
  214       0.02       1  np.all(mapped_boundary_edges < len(overlap_mesh.vertices), axis=1)
  233       0.02       1  fused_mesh.remove_unreferenced_vertices()
  101       0.01       1  trilat_shifted_pts = points.copy()
  127       0.01       1  border_mask[overlap_any_idx] = True
  141       0.01       1  trilat_shifted_pts[border_mask],
  142       0.01       1  trilat_shifted_pts[nonoverlap_nonborder_mask],
  149       0.01       1  colours[border_mask],
  158       0.01       1  normals[nonoverlap_nonborder_mask],
  150       0.01       1  colours[nonoverlap_nonborder_mask],
  157       0.01       1  normals[border_mask],
  226       0.01       2  fused_mesh = o3d.geometry.TriangleMesh(
  182       0.01       1  pcd.points = o3d.utility.Vector3dVector(new_points[:n_overlap])
  128       0.01       1  border_mask[cluster_mapping != -1] = False
  222       0.01       2  fused_mesh_triangles = np.concatenate(
  223       0.01       1  [trimmed_overlap_tris, mapping[nonoverlap_tris]], axis=0
   77       0.01       2  global_avg_spacing = (1 / len(local_spacings)) * np.sum(
   41       0.01       1  points1 = np.asarray(mesh1.vertices)
  227       0.01       1  vertices=o3d.utility.Vector3dVector(new_points),
  231       0.01       1  fused_mesh.vertex_colors = o3d.utility.Vector3dVector(new_colours)
  168       0.01       1  border_idx_from = np.arange(len(points))[border_mask]
   91       0.01       1  tris1 = np.asarray(mesh1.triangles)
  203       0.01       1  overlap_mesh.remove_degenerate_triangles()
  212       0.01       1  mapped_boundary_edges = mapping[boundary_edges]
  131       0.01       1  nonoverlap_nonborder_mask[cluster_mapping == -1] = True
  236       0.01       1  fused_mesh.remove_degenerate_triangles()
  195       0.01       1  radii = o3d.utility.DoubleVector([ball_r, ball_r * 1.5])
  207       0.01       1  overlap_mesh.vertex_colors = pcd.colors
  213       0.01       2  relevant_boundary_edges = mapped_boundary_edges[
  135       0.01       1  n_border = border_mask.sum()
  185       0.01       1  pcd.normals = o3d.utility.Vector3dVector(new_normals[:n_overlap])
   74       0.00       1  local_spacing = np.concatenate(local_spacings)
  138       0.00       2  new_points = np.concatenate(
  221       0.00       1  trimmed_overlap_tris = np.asarray(trimmed_overlap_mesh.triangles)
  181       0.00       1  pcd = o3d.geometry.PointCloud()
  171       0.00       1  free_idx_from = np.arange(len(points))[nonoverlap_nonborder_mask]
  146       0.00       2  new_colours = np.concatenate(
  154       0.00       2  new_normals = np.concatenate(
   59       0.00       1  normals1 = np.asarray(mesh1.vertex_normals)
  132       0.00       1  nonoverlap_nonborder_mask[border_mask] = False
  169       0.00       1  border_idx_to = np.arange(n_border) + n_overlap
  240       0.00       1  return fused_mesh
  136       0.00       1  n_free = nonoverlap_nonborder_mask.sum()
  172       0.00       1  free_idx_to = np.arange(n_free) + n_overlap + n_border
   42       0.00       1  points2 = np.asarray(mesh2.vertices)
   75       0.00       1  local_density = np.concatenate((local_density_1, local_density_2))
  126       0.00       1  border_mask = np.zeros(len(points), dtype=bool)
   48       0.00       1  colours2 = mesh2.vertex_colors
   47       0.00       1  colours1 = mesh1.vertex_colors
  174       0.00       1  mapping = cluster_mapping.copy()
   60       0.00       1  normals2 = np.asarray(mesh2.vertex_normals)
  175       0.00       1  mapping[border_idx_from] = border_idx_to
  102       0.00       3  for _ in range(trilat_iters):
  130       0.00       1  nonoverlap_nonborder_mask = np.zeros(len(points), dtype=bool)
  194       0.00       1  ball_r = 1.1 * global_avg_spacing
  176       0.00       1  mapping[free_idx_from] = free_idx_to
  184       0.00       1  if new_normals[:n_overlap] is not None:
   72       0.00       1  local_spacings = (local_spacing_1, local_spacing_2)
  134       0.00       1  n_overlap = len(clustered_overlap_pnts)
  139       0.00       1  [
   44       0.00       1  pointclouds = (points1, points2)
  114       0.00       1  overlap_idx=overlap_idx,
  155       0.00       1  [
  116       0.00       1  h_alpha=h_alpha,
  110       0.00       1  trilat_shifted_pts=trilat_shifted_pts,
  111       0.00       1  normals=normals,
  156       0.00       1  clustered_overlap_nrms,
  147       0.00       1  [
  152       0.00       1  axis=0,
  140       0.00       1  clustered_overlap_pnts,
  112       0.00       1  colours=colours,
  160       0.00       1  axis=0,
  198       0.00       1  pcd, radii
  144       0.00       1  axis=0,
  148       0.00       1  clustered_overlap_cols,
  218       0.00       1  overlap_mesh, relevant_boundary_edges
  115       0.00       1  global_avg_spacing=global_avg_spacing,
  117       0.00       1  tree=kd_tree,
  113       0.00       1  overlap_mask=overlap_mask,
